index,category,four_pillars,detailed_principles
0,physician can freely choose whom to serve,autonomy,"1. AuMA 4.2.3: Recognize your right to refuse to carry out services which you consider to be professionally unethical, against your moral convictions, imposed on you for either administrative reasons or for financial gain or which you consider are not in the best interests of the patient.  
2.  A physician shall, in the provision of appropriate patient care, except in emergencies, be free to choose whom to serve, with whom to associate, and the environment in which to provide medical care. (AMA: 6)
3.  AuMA 2.1.11: Recognize that you may decline to enter into a therapeutic relationship where an alternative health care provider is available and the situation is not an emergency one.
4. AuMA 2.1.13: If you refuse to provide or participate in some form of diagnosis or treatment based on a conscientious objection, inform the patient so that they may seek care elsewhere. Do not use your conscientious objection to impede patients’ access to medical treatments including in an emergency situation.
5. The physician shall practice his/her profession with ample autonomy and is not forced to provide professional services to an individual against his/her will, except in the absence of another physician, in emergency cases, or when his refusal could cause irreversible damage to the patient. (Brazil ART.7)
6. The physician may not, under any circumstance or pretext, renounce his professional freedom and shall disallow any restriction or imposition that could harm the efficacy and appropriateness of his/her work. (Brazil ART.8)"
1,open discussion and fair charging of fees,beneficence,"CMA26. Discuss professional fees for non-insured services with the patient and consider their ability to pay in determining fees.  
AuMA 2.7.1 Set a fair and reasonable fee having regard to the time, skill and experience involved in the performance of your services, the relevant practice costs and the particular circumstances of the case and the patient.  
AuMA 2.7.2 Recognize the importance of informed financial consent, ensuring that the patient is informed of and consents to your fees prior to the medical service being provided, where possible. Where a service you provide is in conjunction with other doctors or hospitals who will charge separate fees, advise the patient of this and how they can obtain information on those separate fees.  
AuMA 2.7.3 Encourage open discussion of health care costs with the patient."
2,physicians should promote environmental sustainability,justice,"The physician should strive to practice medicine in ways that are environmentally sustainable with a view to minimizing environmental health risks to current and future generations. (WMA: 12)
Recognize that social determinants of health, the environment, and other fundamental considerations that extend beyond medical practice and health systems are important factors that affect the health of the patient and of populations. (CMA: 38)
The physician shall inform competent authorities of any forms of pollution and deterioration of the environment, that pose a risk to health and life. (Brazil ART 13.)
Healthcare practitioners should recognise that they have a responsibility to ensure that in the conduct of their affairs they do not in any way contribute to environmental degradation. (HPCSA Booklet 1. 11.1)"
3,do not use medicine for personal gain,non-maleficence,"The physician will not engage in medical activities for profit-making motives. (JMA: 6)
I shall not accept any gifts, pecuniary benefits or gratification from the pharmaceutical companies, equipment suppliers and diagnostic centers or similar agencies (IMA: 14)
Be honest and dedicated to public service. Consciously abide by disciplines and laws, and do not use medicine for personal gain. (China: 4)
Maintain a professional relationship with patients and their relatives and not abuse this relationship through inappropriate personal relationships or for personal gain. (Singapore: (b):iii)
AuMA 3.1.9:  Refrain from offering inducements to patients, accepting inducements from patients or encouraging patients to give, lend or bequeath you money or gifts.
The physician is forbidden to use the profession to corrupt customs or to commit or favor crime. (Brazil ART. 55)
The physician is forbidden to take advantage of the doctor–patient relationship to obtain physical, emotional, financial, or political advantages. (Brazil ART. 65)
Healthcare practitioners should avoid over-servicing and only recommend or refer patients for necessary investigations and treatment, and should only prescribe treatment, drugs or appliances that serve the needs of their patients. (HPCSA Booklet 1. 5.9.2)
Healthcare practitioners must always seek to give priority to the investigation and treatment of patients solely based on clinical need. (HPCSA Booklet 1. 5.9.1)"
4,provide assistance in emergency,beneficence,"The physician should provide help in medical emergencies, while considering the physician’s own safety and competence, and the availability of other viable options for care. (WMA:9)
When a physician decides to take part in a joint organized refusal to provide care, he is not released from his ethical obligations towards the patients to whom he guarantees emergency treatment and care needed for patients in treatment. (Eur. 14)
Provide whatever appropriate assistance you can to any person who needs emergency medical care. (CMA: 8)
The physician is forbidden Not to treat a patient, looking for his/her professional care, in an emergency, when there are no other physicians or medical services available. (Brazil ART 58.)
In an emergency, where there is threat to life or limb (including a perceived threat) and where no appropriately trained healthcare professional is available, then the practitioner must intervene to the best of their ability. (HPCSA. Booklet1. 5.1.14)"
5,respect and cooperate with colleagues,beneficence,"Work with colleagues where necessary and appropriate in ways that serve the best interests of patients. (Singapore: (a):vi)
Abide by the ECEG when utilising new technology or treatment modalities and where ethical application is unclear, seek counsel from colleagues or Ethics Committees. (Singapore: (a):x)
When medically appropriate, the physician must collaborate with other physicians and health professionals who are involved in the care of the patient or who are qualified to assess or recommend care options. This communication must respect patient confidentiality and be confined to necessary information. (WMA: 7)
Physicians should maintain respect for their fellow physician, cooperate with medical care personnel and serve the cause of medical care to the best of their abilities. (JMA: 4)
Learn from each other, respect each other, work together in unity, and properly handle the relationship between colleagues. (China: 6)
A physician shall respect the rights of patients, colleagues, and other health professionals, and shall safeguard patient confidences and privacy within the constraints of the law. (AMA: 4)
I shall extend my teachers & fellow colleagues respect and gratitude legitimately due to them. (IMA: 4)
Treat your colleagues with dignity and as persons worthy of respect. Colleagues include all learners, health care partners, and members of the health care team. (CMA: 31)
Seek help from colleagues and appropriate medical care from qualified professionals for personal and professional problems that might adversely affect your health and your services to patients. (CMA: 29)
Cultivate training and practice environments that provide physical and psychological safety and encourage help-seeking behaviours. (CMA: 30)
Regard all fellow professionals as colleagues, treat them with dignity, accord them respect and manage those under your supervision with professionalism, care and nurturing. (Singapore: (c) iv)
Healthcare practitioners should work with and respect other health professionals in pursuit of the best healthcare possible for all patients. (HPCSA Booklet 1. 6.2.1)
AuMA 3.2 Working with colleagues
3.2.1 Treat your colleagues with respect and dignity. 
3.2.2 Recognise colleagues who are unwell or under stress. Know how and when to respond if you are concerned about a colleague’s health and take action to minimise the risk to patients and the doctor’s health. 
3.3.3 Refrain from undertaking actions such as making comments which may unfairly damage the reputation of a colleague. 
3.3.4 Treat those under your supervision with respect, care and patience.
AuMA: 3.3 Referral to colleagues  
3.3.1 Recognize your professional limitations and be prepared to refer as appropriate.  
3.3.2 Obtain the opinion of an appropriate colleague acceptable to the patient if diagnosis or treatment is difficult or in response to a reasonable request by the patient.  
3.3.3 When referring a patient, make available to your colleague, with the patient’s knowledge and consent, all relevant information and indicate whether or not they are to assume the continuing care of the patient during their illness.  
3.3.4 When an opinion has been requested by a colleague, report in detail your findings and recommendations to that doctor.  
3.3.5 Respect the central role of the general practitioner in patient care. Should a patient require a referral to another specialist, ideally the referral should be made following consultation with the patient’s general practitioner – except in an emergency situation. Any decision should be communicated to the general practitioner in a timely fashion.  
AuMA 3.4 Working with other health care professionals and as part of a health care team  
3.4.1 Treat other health care professionals with respect and dignity.  
3.4.2 Ensure that doctors and other health care professionals upon whom you call to assist in the care of the patient are appropriately qualified.  
3.4.3 Work collaboratively with other members of the patient’s health care team.  
3.4.4 Adhere to your responsibility in delegation and handover of care of the patient.  
3.4.5 Recognise the role of other support services including translators, Indigenous community members, religious, spiritual and cultural advisers.
 1.    Promote and enable formal and informal mentorship and leadership opportunities across all levels of training, practice, and health system delivery. (CMA: 35) 
 2.   Support interdisciplinary team-based practices; foster team collaboration and a shared accountability for patient care.(CMA: 36)"
6,maintain qualified when providing medical care,non-maleficence,"Maintain your fitness to practise and to be cognisant (where your own insight is preserved) of your own impairments and inability to manage patients to the required standards and refrain from continuing to manage patients if you know you are impaired.(Singapore: (a):viii)
When providing professional certification, the physician must only certify what the physician has personally verified. (WMA: 8)
A physician shall uphold the standards of professionalism, be honest in all professional interactions, and strive to report physicians deficient in character or competence, or engaging in fraud or deception, to appropriate entities. (AMA: 2)
Commit to ensuring the quality of medical services offered to patients and society through the establishment and maintenance of professional standards. (CMA: 37)
Healthcare practitioners must be appropriately educated and trained to qualify as appropriately educated and trained. (HPCSA Booklet 1. 5.1.15)"
7,report unethical and unprofessional conduct,non-maleficence,"AuMA3.1.10: Report suspected unethical or unprofessional conduct by a colleague to the appropriate authority.  
AuMA3.1.11: Report any form of bullying or harassment of, or by, students, colleagues or other health care professionals.
A physician shall uphold the standards of professionalism, be honest in all professional interactions, and strive to report physicians deficient in character or competence, or engaging in fraud or deception, to appropriate entities. (AMA: 2)
Take responsibility for promoting civility, and confronting incivility, within and beyond the profession. Avoid impugning the reputation of colleagues for personal motives; however, report to the appropriate authority any unprofessional conduct by colleagues. (CMA: 33)
AuMA 4.2.4: Alert appropriate authorities when the health care service or environment within which you work is inadequate or poses a threat to health.  
AuMA 4.2.5: The doctor who reasonably believes that significant harm will occur to the public as a result of the delivery or non-delivery of health care, despite the process mentioned in paragraph 4.2.4, would be open to taking whistleblowing action. Contemporary protections for whistleblowers should be supported by doctors.
Healthcare practitioners must report violations and seek redress in circumstances where they have good or persuasive reason to believe that the rights of patients are being violated and/or where the conduct of the practitioner is unethical. (HPCSA Booklet 1. 10.1.1)"
8,continual learning,beneficence,"Maintain competence by keeping abreast of medical knowledge relevant to practice and ensure that your clinical and technical skills are current. (Singapore: (a):vii)
The physician must engage in continuous learning throughout professional life in order to maintain and develop professional knowledge and skills. (WMA:11)
A physician shall continue to study, apply, and advance scientific knowledge, maintain a commitment to medical education, make relevant information available to patients, colleagues, and the public, obtain consultation, and use the talents of other health professionals when indicated. (AMA: 5)
The physician should strive to achieve a lifelong dedication to continuing education, to keep abreast of medical knowledge and technology, and to support its progress and development. (JMA: 1)
Be rigorous and realistic, be enterprising, study medical skills, and keep improving. Constantly update knowledge and improve technical level. (China: 7)
AuMA3.1.5: Continue lifelong professional development to keep your knowledge, skills and performance up-to-date and improve your standard of medical care.
AuMA3.1.6: Keep up-to-date on relevant codes of practice and legal responsibilities.  
AuMA3.1.7: Accept responsibility for maintaining and improving the standards of the profession.
Healthcare practitioners must maintain and improve the standard of their performance by keeping their professional knowledge and skills, including their knowledge and skills related to ethics, human rights and health law, up to date throughout their working life. (HPCSA Booklet 1. 8.1.1)"
9,make responsible and independent clinical judgement ,autonomy,"The physician is not required to satisfy requests for treatment which he does not approve. (Eur. 15)
Physicians must take responsibility for their individual medical decisions and must not alter their sound professional medical judgements on the basis of instructions contrary to medical considerations. (WMA: 6)
Physicians must not allow their individual professional judgement to be influenced by the possibility of benefit to themselves or their institution. The physician must recognize and avoid real or potential conflicts of interest. Where such conflicts are unavoidable, they must be declared in advance and properly managed. (WMA: 5)
The physician exercises his profession with conscience, dignity and in independence. (Eur. 16)
The physician must practice with conscience, honesty, integrity, and accountability, while always exercising independent professional judgement and maintaining the highest standards of professional conduct. (WMA: 4)
AuMA 4.2.1: Uphold professional autonomy and clinical independence and advocate for the freedom to exercise professional judgement in the care and treatment of patients without undue influence by individuals, governments or third parties. 
The physician is forbidden to exercise his/her authority in such a way that it limits the right of the patient to decide freely for him/herself or on his/her well-being. (Brazil ART. 48)
Healthcare practitioners must apply their mind openly when making diagnoses and considering appropriate treatment. (HPCSA Booklet 1. 5.1.8)"
