id,question,correct_answer,categories
21962,"Which of the following situations reflects passive euthanasia?
Options, A: Administering an excessive dose of barbiturates; B: Administering a lifesaving medical procedure; C: Administering a lethal dose of narcotics; D: Withholding of intravenous or tube feedings;",D,"Respect life, dignity of patients;Prevent patient from harm"
23044,"How does the concept of negligence relate to the responsibilities of healthcare professionals?
Options, A: Negligence is unrelated to healthcare responsibilities.; B: Negligence indicates that healthcare professionals must always provide perfect care.; C: Negligence only applies to administrative staff, not healthcare providers.; D: Negligence implies that healthcare professionals must meet a standard of care that is consistent with what is expected in similar situations.;",D,Prevent patient from harm;Provide professional medical care to patients
23899,"The ethical value of truthfulness and honesty includes the concept of:
Options, A: Doing what is in the best interest of the patient; B: Assuring fairness when resources are limited; C: Confirming informed consent for health related procedures and treatments; D: Treating all patients, families, caregivers, and other health professionals with respect; E: Following the law in all ethical decisions;",C,"Maintain truthful, factual communication;Respect the patient’s rights to be informed, informed consent and freedom of choice"
21315,"The following are rights of the patients, EXCEPT:
Options, A: The right to choose their dentist; B: The right to treatment, free of charge; C: The right to enjoy privileged communication; D: The right to be informed of diagnostic steps;",B,"Respect the patient’s rights to be informed, informed consent and freedom of choice"
25921,"Which of the following statements best reflects the nurse's understanding regarding strong personal feelings against voluntary abortions?
Options, A: ""It would be difficult, but I would try to care for the client in a professional manner.""; B: ""I would just ask another registered nurse to care for the client who is recovering from an abortion.""; C: ""I will need to separate my personal values in a manner so as to not appear to be judgmental.""; D: ""I chose not to work in areas that would require me to deal with the issue of abortion."";",D,"Respect the patient’s rights to be informed, informed consent and freedom of choice"
23083,"What is one of the key ethical guidelines that emphasizes the importance of protecting participant data in medical research?
Options, A: The GDPR; B: The Declaration of Helsinki; C: The Nuremberg Code; D: The Belmont Report;",A,"Ethical research;Respect the patient’s rights to be informed, informed consent and freedom of choice;Keep confidential of patient’s information"
20823,"What is the overarching purpose of adhering to defined clinical ethical principles throughout a nurse's career?
Options, A: To avoid professional misconduct; B: To ensure career advancement; C: To reduce personal liability; D: To provide exceptional patient care;",D,"Respect life, dignity of patients"
24482,"Explain how the concept of 'scope of practice' impacts the responsibilities of healthcare professionals.
Options, A: It limits healthcare professionals to only administrative tasks.; B: It allows healthcare professionals to perform any medical procedure they choose.; C: It defines the boundaries within which healthcare professionals must operate based on their qualifications.; D: It has no effect on the responsibilities of healthcare professionals.;",C,Comply with laws and regulations;Maintain qualified when providing medical care
24933,"An ethics committee exists to support practitioners who need assistance in reasoning about the ethical dimensions of care. The committee's roles include:
Options, A: A. Consultation; B: B. Direct patient care; C: C. Education; D: E. A, C, & D; E: D. Policy review and development; F: F. All of the above;",D,"Recognize the responsibility, dignity, honesty, integrity of the occupation"
22436,"Lack of physical or mental fitness is _________.
Options, A: incompetent; B: abandonment; C: defendant; D: duty of care;",A,Maintain qualified when providing medical care;Prevent patient from harm
20667,"What is medical ethics?
Options, A: A field studying morality in the social context; B: An interdisciplinary field studying morality in the psychological context; C: An interdisciplinary field studying morality in the medical context; D: An interdisciplinary field studying medicine in the psychological context; E: An interdisciplinary field studying mathematics in the medical context;",C,"Respect life, dignity of patients;Recognize the responsibility, dignity, honesty, integrity of the occupation"
21550,"All of the ethical principles discussed in the text are applied to situations common to the healthcare profession. The term that describes healthcare professional ethics is
Options, A: Socratic ethics.; B: business ethics.; C: bioethics.; D: Platonic ethics.;",C,"Recognize the responsibility, dignity, honesty, integrity of the occupation"
21795,"What key assumption does Goldman challenge in his critique of medical paternalism, and what is his reasoning for rejecting it?
Options, A: Patients are always incapable of making informed decisions.; B: Patients have the right to make autonomous choices regarding their treatment.; C: Medical professionals are infallible in their judgments about patient care.; D: Patients lack the necessary knowledge to understand their medicalconditions.;",B,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Respect life, dignity of patients;Respect the decision-making of incompetent/competent patient "
